# src_chip dst_chip src_pe dst_pe inject_cycle
# entries=768 chips=4 pe_per_chip=256 timesteps=5 interval=2000 seed=421
3 2 104 49 2000
1 0 89 219 2000
2 3 92 152 2000
3 0 79 26 2000
0 2 187 248 2000
2 3 187 87 2000
0 3 176 114 2000
1 2 157 195 2000
2 1 210 79 2000
2 0 65 41 2000
3 2 170 70 2000
2 3 120 27 2000
3 1 1 140 2000
3 0 198 90 2000
0 2 123 53 2000
2 1 29 138 2000
0 3 146 218 2000
2 3 49 108 2000
1 0 43 105 2000
0 2 9 20 2000
3 1 172 118 2000
3 1 254 87 2000
3 1 226 118 2000
2 3 63 206 2000
0 2 24 74 2000
2 3 22 55 2000
1 2 58 19 2000
0 2 17 226 2000
0 3 4 227 2000
3 0 189 144 2000
3 2 226 54 2000
1 3 85 45 2000
2 0 27 110 2000
3 1 105 175 2000
0 1 68 113 2000
2 3 33 83 2000
1 3 181 29 2000
2 0 146 148 2000
0 1 52 109 2000
3 1 71 81 2000
3 2 224 168 2000
2 3 211 27 2000
2 0 149 7 2000
2 3 107 159 2000
1 2 211 88 2000
3 2 102 230 2000
1 2 142 123 2000
1 2 136 240 2000
0 2 198 57 2000
3 2 110 45 2000
2 0 179 219 2000
0 2 25 131 2000
1 3 108 192 2000
2 3 219 200 2000
1 0 35 255 2000
2 1 225 97 2000
2 0 95 14 2000
3 2 222 25 2000
2 0 62 52 2000
2 1 215 125 2000
2 3 29 62 2000
2 3 74 18 2000
0 2 97 100 2000
2 1 220 7 2000
2 1 55 97 2000
1 2 243 66 2000
3 0 252 198 2000
1 0 164 85 2000
1 2 16 228 2000
3 0 200 218 2000
3 0 5 35 2000
0 3 204 166 2000
1 2 237 101 2000
3 2 149 16 2000
3 0 244 233 2000
2 3 136 63 2000
1 3 29 222 2000
1 3 113 227 2000
3 1 129 46 2000
1 3 18 44 2000
0 2 201 128 2000
1 3 252 191 2000
0 1 96 105 2000
0 3 119 172 2000
1 3 173 95 2000
1 0 105 104 2000
2 3 67 87 2000
2 3 146 219 2000
3 0 194 252 2000
1 2 212 144 2000
2 1 179 149 2000
0 1 223 148 2000
0 2 229 204 2000
2 1 175 90 2000
3 1 185 23 2000
2 3 172 213 2000
1 0 247 226 2000
0 1 96 146 2000
1 2 97 73 2000
0 1 55 174 2000
2 3 85 201 2000
2 1 192 123 2000
2 0 45 33 2000
0 1 101 239 2000
1 3 185 229 2000
3 1 116 254 2000
3 1 35 170 2000
2 0 85 89 2000
3 1 198 3 2000
3 1 209 12 2000
3 0 19 215 2000
2 0 47 116 2000
3 2 154 55 2000
0 3 181 82 2000
3 1 94 19 2000
1 3 169 149 2000
3 2 157 97 2000
3 1 254 30 2000
0 3 184 150 2000
3 1 136 30 2000
3 1 122 135 2000
1 3 163 154 2000
1 3 42 132 2000
3 2 110 107 2000
1 2 138 24 2000
2 1 183 98 2000
0 3 181 137 2000
1 2 48 141 2000
0 1 59 100 2000
1 0 69 233 2000
1 0 93 201 2000
3 1 12 120 2000
0 2 183 177 2000
3 2 117 131 2000
1 0 51 100 2000
1 3 97 2 2000
3 2 174 79 2000
1 2 254 116 2000
1 3 72 186 2000
1 2 20 9 2000
2 3 144 166 2000
3 1 248 31 2000
1 3 54 96 2000
1 2 165 169 4000
0 2 158 77 4000
1 2 37 212 4000
1 2 228 250 4000
1 0 154 16 4000
2 3 95 107 4000
2 1 1 209 4000
0 2 181 127 4000
0 1 110 128 4000
1 3 77 61 4000
2 3 226 122 4000
1 0 10 166 4000
1 0 226 109 4000
0 3 161 0 4000
2 1 205 164 4000
0 3 111 101 4000
1 3 125 6 4000
