# src_chip  dst_chip  src_pe  dst_pe  inject_cycle
# 191 entries, 64 chips x 4 PE, 5 timesteps
0  1  1  2  2000
0  1  3  0  2000
1  2  2  3  2000
1  2  3  0  2000
2  3  2  1  2000
5  6  3  3  2000
6  7  0  2  2000
9  10  1  1  2000
12  13  2  1  2000
15  16  0  0  2000
15  16  3  2  2000
17  18  0  1  2000
19  20  2  0  2000
22  23  3  2  2000
24  25  0  2  2000
25  26  0  2  2000
27  28  3  2  2000
28  29  3  0  2000
29  30  0  3  2000
30  31  0  3  2000
34  35  0  0  2000
35  36  0  0  2000
36  37  0  1  2000
38  39  2  3  2000
39  40  2  0  2000
39  40  3  2  2000
40  41  1  1  2000
42  43  3  0  2000
44  45  3  3  2000
45  46  0  3  2000
48  49  3  3  2000
50  51  0  1  2000
50  51  1  0  2000
51  52  0  1  2000
51  52  2  0  2000
54  55  3  3  2000
55  56  2  1  2000
56  57  0  2  2000
58  59  2  2  2000
59  60  0  1  2000
62  63  1  3  2000
62  63  3  2  2000
1  2  2  0  4000
2  3  1  0  4000
3  4  0  1  4000
3  4  1  2  4000
5  6  0  3  4000
9  10  3  3  4000
11  12  2  1  4000
12  13  1  2  4000
13  14  3  2  4000
14  15  3  3  4000
16  17  0  1  4000
16  17  3  1  4000
17  18  1  2  4000
18  19  0  2  4000
25  26  1  1  4000
26  27  1  1  4000
28  29  3  0  4000
31  32  2  1  4000
37  38  0  2  4000
38  39  0  1  4000
39  40  0  3  4000
39  40  3  3  4000
40  41  3  3  4000
47  48  0  3  4000
47  48  1  3  4000
50  51  2  2  4000
51  52  0  0  4000
52  53  0  1  4000
52  53  3  1  4000
59  60  1  3  4000
59  60  3  2  4000
60  61  0  3  4000
60  61  2  2  4000
1  2  2  3  6000
2  3  3  2  6000
4  5  3  1  6000
5  6  0  3  6000
6  7  3  1  6000
14  15  1  0  6000
15  16  1  3  6000
15  16  2  0  6000
16  17  3  3  6000
17  18  0  0  6000
17  18  2  0  6000
18  19  2  1  6000
18  19  3  3  6000
23  24  2  0  6000
24  25  2  2  6000
28  29  1  1  6000
32  33  1  1  6000
34  35  1  1  6000
36  37  1  2  6000
37  38  0  1  6000
43  44  3  1  6000
44  45  2  3  6000
44  45  3  0  6000
45  46  1  1  6000
51  52  2  3  6000
54  55  1  3  6000
56  57  1  2  6000
62  63  0  0  6000
0  1  1  0  8000
1  2  0  1  8000
1  2  3  0  8000
2  3  2  3  8000
3  4  2  3  8000
4  5  2  3  8000
6  7  2  2  8000
8  9  3  3  8000
11  12  2  3  8000
14  15  2  0  8000
16  17  1  2  8000
20  21  2  1  8000
22  23  2  0  8000
24  25  1  1  8000
27  28  0  0  8000
28  29  0  1  8000
33  34  3  2  8000
34  35  1  3  8000
34  35  2  1  8000
35  36  1  2  8000
35  36  3  1  8000
36  37  0  1  8000
39  40  0  0  8000
39  40  1  2  8000
40  41  2  3  8000
42  43  0  1  8000
42  43  2  2  8000
43  44  1  3  8000
44  45  0  3  8000
44  45  1  0  8000
44  45  3  1  8000
47  48  0  0  8000
49  50  3  3  8000
51  52  1  0  8000
51  52  2  0  8000
52  53  1  0  8000
53  54  1  2  8000
54  55  2  2  8000
56  57  1  2  8000
56  57  2  2  8000
58  59  2  2  8000
58  59  3  2  8000
59  60  3  1  8000
60  61  2  0  8000
60  61  3  1  8000
0  1  2  0  10000
2  3  1  3  10000
2  3  2  3  10000
3  4  3  1  10000
4  5  2  2  10000
5  6  0  3  10000
7  8  0  0  10000
7  8  3  2  10000
9  10  0  0  10000
11  12  0  3  10000
13  14  1  1  10000
15  16  0  1  10000
16  17  0  3  10000
20  21  1  3  10000
20  21  3  2  10000
21  22  0  0  10000
24  25  1  0  10000
25  26  1  1  10000
25  26  2  3  10000
27  28  3  2  10000
28  29  0  0  10000
30  31  0  1  10000
31  32  1  0  10000
36  37  0  0  10000
40  41  1  2  10000
45  46  3  2  10000
46  47  0  3  10000
46  47  3  0  10000
48  49  0  3  10000
48  49  1  1  10000
50  51  1  1  10000
50  51  2  0  10000
51  52  2  2  10000
53  54  2  1  10000
54  55  3  2  10000
55  56  1  1  10000
56  57  1  3  10000
56  57  3  1  10000
57  58  2  2  10000
58  59  2  2  10000
58  59  3  0  10000
60  61  1  0  10000
62  63  0  2  10000
