# src_chip  dst_chip  src_pe  dst_pe  inject_cycle
# 40 entries, 4 chips x 16 PE, 5 timesteps
0  1  1  8  2000
0  1  3  3  2000
0  1  6  13  2000
0  1  7  2  2000
0  1  10  6  2000
1  2  7  12  2000
1  2  8  11  2000
2  3  5  7  2000
0  1  2  5  4000
0  1  12  1  4000
0  1  15  10  4000
1  2  4  4  4000
1  2  14  1  4000
2  3  11  8  4000
0  1  0  8  6000
0  1  4  9  6000
0  1  15  11  6000
1  2  3  2  6000
1  2  4  15  6000
1  2  8  15  6000
2  3  8  0  6000
2  3  12  1  6000
0  1  0  7  8000
0  1  10  13  8000
0  1  14  3  8000
0  1  15  10  8000
1  2  1  6  8000
1  2  11  0  8000
2  3  3  12  8000
2  3  4  12  8000
0  1  3  15  10000
0  1  8  5  10000
0  1  9  2  10000
0  1  12  7  10000
0  1  14  2  10000
1  2  11  14  10000
1  2  14  6  10000
2  3  0  11  10000
2  3  10  9  10000
2  3  12  4  10000
