# Noxim traffic table generated from MNIST SNN inference
# num_images=10, timesteps=16, interval=500, start_idx=0
# chip mapping: 0=input(784), 1=hidden(256), 2=output(10)
# 18189 total spike events
# src_chip  dst_chip  src_pe  dst_pe  inject_cycle
0  1  4  15  500
0  1  4  5  500
0  1  4  13  500
0  1  4  4  500
0  1  4  13  500
0  1  4  9  500
0  1  4  2  500
0  1  4  5  500
0  1  4  5  500
0  1  4  1  500
0  1  4  0  500
0  1  4  5  500
0  1  4  0  500
0  1  4  2  500
0  1  4  11  500
0  1  4  11  500
0  1  5  11  500
0  1  5  6  500
0  1  5  14  500
0  1  5  9  500
0  1  5  2  500
0  1  5  1  500
0  1  5  11  500
0  1  5  3  500
0  1  5  6  500
0  1  5  15  500
0  1  5  0  500
0  1  5  0  500
0  1  5  15  500
0  1  5  8  500
0  1  6  2  500
0  1  6  14  500
0  1  6  13  500
0  1  6  8  500
0  1  6  9  500
0  1  7  5  500
0  1  7  1  500
0  1  7  9  500
0  1  7  5  500
0  1  8  10  500
0  1  8  13  500
0  1  8  0  500
0  1  8  8  500
0  1  9  3  500
0  1  9  13  500
0  1  10  4  500
0  1  10  9  500
0  1  10  9  500
0  1  10  4  500
0  1  10  11  500
0  1  11  11  500
0  1  11  8  500
0  1  11  11  500
0  1  11  15  500
0  1  11  6  500
0  1  12  8  500
0  1  12  0  500
0  1  12  12  500
0  1  12  8  500
0  1  12  6  500
0  1  13  1  500
0  1  13  14  500
0  1  13  6  500
0  1  13  9  500
0  1  13  2  500
0  1  13  15  500
0  1  13  3  500
0  1  14  2  500
0  1  14  14  500
0  1  15  14  500
0  1  15  3  500
0  1  15  7  500
1  2  0  3  500
1  2  0  8  500
1  2  3  8  500
1  2  4  1  500
1  2  4  2  500
1  2  5  9  500
1  2  5  3  500
1  2  5  9  500
1  2  6  8  500
1  2  6  0  500
1  2  7  8  500
1  2  7  2  500
1  2  8  6  500
1  2  8  7  500
1  2  9  2  500
1  2  9  2  500
1  2  11  9  500
1  2  11  8  500
1  2  11  7  500
1  2  14  8  500
1  2  15  0  500
1  2  15  7  500
1  2  15  9  500
0  1  4  15  1000
0  1  4  7  1000
0  1  4  5  1000
0  1  4  7  1000
0  1  4  5  1000
0  1  4  3  1000
0  1  4  0  1000
0  1  4  4  1000
0  1  4  11  1000
0  1  4  0  1000
0  1  4  6  1000
0  1  4  10  1000
0  1  4  9  1000
0  1  5  12  1000
0  1  5  13  1000
0  1  5  11  1000
0  1  5  1  1000
0  1  5  7  1000
0  1  5  10  1000
0  1  5  4  1000
0  1  5  0  1000
0  1  5  3  1000
0  1  5  7  1000
0  1  5  6  1000
0  1  5  3  1000
0  1  5  13  1000
0  1  6  14  1000
0  1  6  3  1000
0  1  6  14  1000
0  1  6  0  1000
0  1  6  14  1000
0  1  6  15  1000
0  1  7  0  1000
0  1  7  11  1000
0  1  7  15  1000
0  1  7  13  1000
0  1  7  15  1000
0  1  8  9  1000
0  1  8  0  1000
0  1  8  13  1000
0  1  8  10  1000
0  1  8  8  1000
0  1  9  5  1000
0  1  9  8  1000
0  1  9  2  1000
0  1  10  12  1000
0  1  10  1  1000
0  1  10  12  1000
0  1  10  13  1000
0  1  10  5  1000
0  1  10  8  1000
0  1  11  5  1000
0  1  11  15  1000
0  1  11  11  1000
0  1  11  5  1000
0  1  11  3  1000
0  1  12  4  1000
0  1  12  6  1000
0  1  12  15  1000
0  1  12  11  1000
0  1  12  4  1000
0  1  13  14  1000
0  1  13  5  1000
0  1  13  13  1000
0  1  13  4  1000
0  1  13  10  1000
0  1  14  15  1000
0  1  14  5  1000
0  1  14  11  1000
0  1  15  15  1000
0  1  15  1  1000
1  2  0  3  1000
1  2  0  5  1000
1  2  0  5  1000
1  2  1  0  1000
1  2  1  2  1000
1  2  2  8  1000
1  2  2  3  1000
1  2  2  6  1000
1  2  3  7  1000
1  2  3  7  1000
1  2  4  9  1000
1  2  4  7  1000
1  2  4  0  1000
1  2  5  7  1000
1  2  6  3  1000
1  2  6  8  1000
1  2  6  7  1000
1  2  6  0  1000
1  2  7  6  1000
1  2  7  2  1000
1  2  8  7  1000
1  2  8  2  1000
1  2  9  2  1000
1  2  10  9  1000
1  2  10  9  1000
1  2  10  9  1000
1  2  11  9  1000
1  2  12  5  1000
1  2  12  5  1000
1  2  13  0  1000
1  2  14  5  1000
1  2  14  1  1000
1  2  15  9  1000
0  1  4  14  1500
0  1  4  5  1500
0  1  4  6  1500
0  1  4  7  1500
0  1  4  3  1500
0  1  4  10  1500
0  1  4  6  1500
0  1  4  0  1500
0  1  4  15  1500
0  1  4  12  1500
0  1  4  11  1500
0  1  4  14  1500
0  1  4  14  1500
0  1  4  4  1500
0  1  4  7  1500
0  1  4  9  1500
0  1  4  4  1500
